name,id,external_id,attack_url,class,tactics,platforms,permissions,rule_id,rule_desc,rule_evidence,is_fallback
Scheduled Transfer,attack-pattern--4eeaf8a9-c86b-4954-a663-9555fb406466,T1029,https://attack.mitre.org/techniques/T1029,VMR,exfiltration,Linux;macOS;Windows,,R8_DEFAULT_VMR,no explicit rule fired,,True
Protocol Tunneling,attack-pattern--4fe28b27-b13c-453e-a386-c2ef362a573b,T1572,https://attack.mitre.org/techniques/T1572,VMR,command-and-control,ESXi;Linux;macOS;Windows,,R8_DEFAULT_VMR,no explicit rule fired,,True
Control Panel,attack-pattern--4ff5d6a8-c062-4c68-a778-36fc5edd564f,T1218.002,https://attack.mitre.org/techniques/T1218/002,VMR,defense-evasion,Windows,,R8_DEFAULT_VMR,no explicit rule fired,,True
Network Address Translation Traversal,attack-pattern--4ffc1794-ec3b-45be-9e52-42dbcb2af2de,T1599.001,https://attack.mitre.org/techniques/T1599/001,VMR,defense-evasion,Network Devices,,R8_DEFAULT_VMR,no explicit rule fired,,True
Upload Tool,attack-pattern--506f6f49-7045-4156-9007-7474cb44ad6d,T1608.002,https://attack.mitre.org/techniques/T1608/002,VMR,resource-development,PRE,,R8_DEFAULT_VMR,no explicit rule fired,,True
Security Support Provider,attack-pattern--5095a853-299c-4876-abd7-ac0050fb5462,T1547.005,https://attack.mitre.org/techniques/T1547/005,VMR,persistence;privilege-escalation,Windows,,R4_VMR_KERNEL_BOOT,kernel/boot/firmware interaction pattern,Security Support Provider,False
Threat Intel Vendors,attack-pattern--51e54974-a541-4fb6-a61b-0518e4c6de41,T1597.001,https://attack.mitre.org/techniques/T1597/001,VMR,reconnaissance,PRE,,R8_DEFAULT_VMR,no explicit rule fired,,True
Exfiltration Over Other Network Medium,attack-pattern--51ea26b1-ff1e-4faa-b1a0-1114cd298c87,T1011,https://attack.mitre.org/techniques/T1011,VMR,exfiltration,Linux;macOS;Windows,,R8_DEFAULT_VMR,no explicit rule fired,,True
Network Device Configuration Dump,attack-pattern--52759bf1-fe12-4052-ace6-c5b0cf7dd7fd,T1602.002,https://attack.mitre.org/techniques/T1602/002,VMR,collection,Network Devices,,R8_DEFAULT_VMR,no explicit rule fired,,True
Gather Victim Identity Information,attack-pattern--5282dd9a-d26d-4e16-88b7-7c0f4553daf4,T1589,https://attack.mitre.org/techniques/T1589,VMR,reconnaissance,PRE,,R8_DEFAULT_VMR,no explicit rule fired,,True
Disable or Modify System Firewall,attack-pattern--5372c5fe-f424-4def-bcd5-d3a8e770f07b,T1562.004,https://attack.mitre.org/techniques/T1562/004,VMR,defense-evasion,ESXi;Linux;macOS;Network Devices;Windows,,R8_DEFAULT_VMR,no explicit rule fired,,True
Archive Collected Data,attack-pattern--53ac20cd-aca3-406e-9aa0-9fc7fdc60a5a,T1560,https://attack.mitre.org/techniques/T1560,VMR,collection,Linux;macOS;Windows,,R8_DEFAULT_VMR,no explicit rule fired,,True
SIP and Trust Provider Hijacking,attack-pattern--543fceb5-cb92-40cb-aacf-6913d4db58bc,T1553.003,https://attack.mitre.org/techniques/T1553/003,VMR,defense-evasion,Windows,,R6_VMR_NAME_PATTERN,name pattern indicates kernel/privileged execution mode,SIP and Trust Provider Hijacking,False
Browser Session Hijacking,attack-pattern--544b0346-29ad-41e1-a808-501bb4193f47,T1185,https://attack.mitre.org/techniques/T1185,VMR,collection,Windows,,R6_VMR_NAME_PATTERN,name pattern indicates kernel/privileged execution mode,Browser Session Hijacking,False
Mail Protocols,attack-pattern--54b4c251-1f0e-4eba-ba6b-dbc7a6f6f06b,T1071.003,https://attack.mitre.org/techniques/T1071/003,VMR,command-and-control,Linux;macOS;Network Devices;Windows,,R8_DEFAULT_VMR,no explicit rule fired,,True
Vulnerability Scanning,attack-pattern--5502c4e9-24ef-4d5f-8ee9-9e906c2f82c4,T1595.002,https://attack.mitre.org/techniques/T1595/002,VMR,reconnaissance,PRE,,R8_DEFAULT_VMR,no explicit rule fired,,True
Search Open Technical Databases,attack-pattern--55fc4df0-b42c-479a-b860-7a6761bcaad0,T1596,https://attack.mitre.org/techniques/T1596,VMR,reconnaissance,PRE,,R8_DEFAULT_VMR,no explicit rule fired,,True
Electron Applications,attack-pattern--561ae9aa-c28a-4144-9eec-e7027a14c8c3,T1218.015,https://attack.mitre.org/techniques/T1218/015,VMR,defense-evasion,Linux;macOS;Windows,,R8_DEFAULT_VMR,no explicit rule fired,,True
Rogue Domain Controller,attack-pattern--564998d8-ab3e-4123-93fb-eccaa6b9714a,T1207,https://attack.mitre.org/techniques/T1207,VMR,defense-evasion,Windows,,R8_DEFAULT_VMR,no explicit rule fired,,True
Code Signing Policy Modification,attack-pattern--565275d5-fcc3-4b66-b4e7-928e4cac6b8c,T1553.006,https://attack.mitre.org/techniques/T1553/006,VMR,defense-evasion,Windows;macOS,,R8_DEFAULT_VMR,no explicit rule fired,,True
Modify Registry,attack-pattern--57340c81-c025-4189-8fa0-fc7ede51bae4,T1112,https://attack.mitre.org/techniques/T1112,VMR,defense-evasion;persistence,Windows,,R6_VMR_NAME_PATTERN,name pattern indicates kernel/privileged execution mode,Modify Registry,False
Launch Daemon,attack-pattern--573ad264-1371-4ae0-8482-d2673b719dba,T1543.004,https://attack.mitre.org/techniques/T1543/004,VMR,persistence;privilege-escalation,macOS,,R8_DEFAULT_VMR,no explicit rule fired,,True
Credentials from Web Browsers,attack-pattern--58a3e6aa-4453-4cc8-a51f-4befe80b31a8,T1555.003,https://attack.mitre.org/techniques/T1555/003,VMR,credential-access,Linux;macOS;Windows,,R8_DEFAULT_VMR,no explicit rule fired,,True
Path Interception by Search Order Hijacking,attack-pattern--58af3705-8740-4c68-9329-ec015a7013c2,T1574.008,https://attack.mitre.org/techniques/T1574/008,VMR,defense-evasion;persistence;privilege-escalation,Windows,,R6_VMR_NAME_PATTERN,name pattern indicates kernel/privileged execution mode,Path Interception by Search Order Hijacking,False
DHCP Spoofing,attack-pattern--59ff91cd-1430-4075-8563-e6f15f4f9ff5,T1557.003,https://attack.mitre.org/techniques/T1557/003,VMR,collection;credential-access,Linux;Windows;macOS,,R8_DEFAULT_VMR,no explicit rule fired,,True
Binary Padding,attack-pattern--5bfccc3f-2326-4112-86cc-c1ece9d8a2b5,T1027.001,https://attack.mitre.org/techniques/T1027/001,VMR,defense-evasion,Linux;Windows;macOS,,R8_DEFAULT_VMR,no explicit rule fired,,True
Web Shell,attack-pattern--5d0d3609-d06d-49e1-b9c9-b544e0c618cb,T1505.003,https://attack.mitre.org/techniques/T1505/003,VMR,persistence,Linux;macOS;Network Devices;Windows,,R8_DEFAULT_VMR,no explicit rule fired,,True
Group Policy Modification,attack-pattern--5d2be8b9-d24c-4e98-83bf-2f5f79477163,T1484.001,https://attack.mitre.org/techniques/T1484/001,VMR,defense-evasion;privilege-escalation,Windows,,R8_DEFAULT_VMR,no explicit rule fired,,True
Browser Information Discovery,attack-pattern--5e4a2073-9643-44cb-a0b5-e7f4048446c7,T1217,https://attack.mitre.org/techniques/T1217,VMR,discovery,Linux;macOS;Windows,,R8_DEFAULT_VMR,no explicit rule fired,,True
Private Keys,attack-pattern--60b508a1-6a5e-46b1-821a-9f7b78752abf,T1552.004,https://attack.mitre.org/techniques/T1552/004,VMR,credential-access,Linux;macOS;Network Devices;Windows,,R8_DEFAULT_VMR,no explicit rule fired,,True
Server,attack-pattern--60c4b628-4807-4b0b-bbf5-fdac8643c337,T1583.004,https://attack.mitre.org/techniques/T1583/004,VMR,resource-development,PRE,,R8_DEFAULT_VMR,no explicit rule fired,,True
Exfiltration Over Bluetooth,attack-pattern--613d08bc-e8f4-4791-80b0-c8b974340dfd,T1011.001,https://attack.mitre.org/techniques/T1011/001,VMR,exfiltration,Linux;macOS;Windows,,R8_DEFAULT_VMR,no explicit rule fired,,True
Time Providers,attack-pattern--61afc315-860c-4364-825d-0d62b2e91edc,T1547.003,https://attack.mitre.org/techniques/T1547/003,VMR,persistence;privilege-escalation,Windows,,R4_VMR_KERNEL_BOOT,kernel/boot/firmware interaction pattern,Time Providers,False
