intrusion_set_id,feature_count,nearest_neighbor_id,nearest_distance,confused
intrusion-set--7251b44b-6072-476c-b8d9-a6e32c355b28,8,intrusion-set--dcd81c6e-ebf7-4a16-93e0-9a97fa49c88a,0.8571,False
intrusion-set--dcd81c6e-ebf7-4a16-93e0-9a97fa49c88a,8,intrusion-set--6b9ebeb5-20bf-48b0-afb7-988d769a2f01,0.75,False
intrusion-set--9b36c218-4d80-4ec6-a68d-cc2886bbe410,19,intrusion-set--e5603ea8-4c36-40e7-b7af-a077d24fedc1,0.7619,False
intrusion-set--d69e568e-9ac8-4c08-b32c-d93b43ba9172,4,intrusion-set--6b9ebeb5-20bf-48b0-afb7-988d769a2f01,0.7778,False
intrusion-set--efed95ba-d7e8-47ff-8c53-99c42426ee7c,11,intrusion-set--c416b28c-103b-4df1-909e-78089a7e0e5f,0.8,False
intrusion-set--0ea72cd5-ca30-46ba-bc04-378f701c658f,2,intrusion-set--6fe8a2a1-a1b0-4af8-953d-4babd329f8f8,0.9333,False
intrusion-set--6566aac9-dad8-4332-ae73-20c23bad7f02,6,intrusion-set--e5603ea8-4c36-40e7-b7af-a077d24fedc1,0.5556,False
intrusion-set--fe98767f-9df8-42b9-83c9-004b1dec8647,2,intrusion-set--5f3d0238-d058-44a9-8812-3dd1b6741a8c,0.7143,False
intrusion-set--090242d7-73fc-4738-af68-20162f7a5aae,2,intrusion-set--a5cfbc79-316c-42f2-915d-6e8fef4085f8,0.8,False
intrusion-set--be8847e0-9512-45db-895e-f871ab6d3820,3,intrusion-set--14225573-63b5-4e50-ba9a-5fdcaf6a7b4c,0.75,False
intrusion-set--da49b9f1-ca99-443f-9728-0a074db66850,1,intrusion-set--2fd2be6a-d3a2-4a65-b499-05ea2693abee,0.8333,False
intrusion-set--e5603ea8-4c36-40e7-b7af-a077d24fedc1,7,intrusion-set--6566aac9-dad8-4332-ae73-20c23bad7f02,0.5556,False
intrusion-set--76565741-3452-4069-ab08-80c0ea95bbeb,4,intrusion-set--5636b7b3-d99b-4edd-aa05-ee649c1d4ef1,0.8,False
intrusion-set--277d2f87-2ae5-4730-a3aa-50c1fdff9656,3,intrusion-set--96e239be-ad99-49eb-b127-3007b8c1bec9,0.8333,False
intrusion-set--14225573-63b5-4e50-ba9a-5fdcaf6a7b4c,2,intrusion-set--be8847e0-9512-45db-895e-f871ab6d3820,0.75,False
intrusion-set--c5574ca0-d5a4-490a-b207-e4658e5fd1d7,1,intrusion-set--6566aac9-dad8-4332-ae73-20c23bad7f02,0.8333,False
intrusion-set--a5cfbc79-316c-42f2-915d-6e8fef4085f8,4,intrusion-set--13ef3485-70d2-4567-b934-0e83c1eafcf1,0.75,False
intrusion-set--d6e88e18-81e8-4709-82d8-973095da1e70,1,intrusion-set--f3be6240-f68e-47e1-90d2-ad8f3b3bb8a6,0.9412,False
intrusion-set--2e5d3a83-fe00-41a5-9b60-237efc84832f,1,intrusion-set--46bb06cb-f2d9-4b37-8c92-a27e224ad90d,0.9412,False
intrusion-set--025bdaa9-897d-4bad-afa6-013ba5734653,0,intrusion-set--9538b1a4-4120-4e2d-bf59-3b11fcab05a4,0.0,True
intrusion-set--f3bdec95-3d62-42d9-a840-29630f6cdc1a,0,intrusion-set--9538b1a4-4120-4e2d-bf59-3b11fcab05a4,0.0,True
intrusion-set--8332952e-b86b-486b-acc3-1c2a85d39394,0,intrusion-set--9538b1a4-4120-4e2d-bf59-3b11fcab05a4,0.0,True
